response_id	field	final_field_1	final_field_2	final_field_3
R_1Q4xGaXB3WozQgQ	Addiction	Clinical Psychology		
R_3r1WNUyPtbMhcDf	affective neuroscience	Neurophysiology and Physiological Psychology		
R_1QbEWXzRJfl7Jgu	affective neuroscience and forensic psychology	Neurophysiology and Physiological Psychology	Other	
R_3GdIMXFqBE6p73h	Anesthesiology	Other		
R_2Vf01udewtYjCGJ	Applied linguistics	Applied Psychology		
R_3rYchwsE2oh6xcF	Applied psych	Applied Psychology		
R_3oZA2TQovqHZAJK	Attentional Bias	Experimental and Cognitive Psychology		
R_cv8SAMeLpk0ITzH	behavioral genetics, behavioral economics	Other		
R_2WD5G1noe5orgHK	Behavioral neuroscience; biological psychology	Neurophysiology and Physiological Psychology	Other	
R_3iJDRidtuqK8rVF	clinical epidemiology	Other		
R_T4KU5hayr0KqqGd	Clinical health psychology	Clinical Psychology		
R_2wviPly3YQzmPqY	clinical psychology	Clinical Psychology		
R_1Iu3NDvQBN2hjRD	clinical psychology	Clinical Psychology		
R_3kdmqgVrEtnCqHw	clinical psychology	Clinical Psychology		
R_1d1gXfkRb5yVS6Z	Clinical psychology	Clinical Psychology		
R_YbqkT4QYFuynhu1	Clinical psychology	Clinical Psychology		
R_2v63YsiMNfkepBF	Clinical psychology	Clinical Psychology		
R_6stmvjaMbL97rZ7	clinical psychology and methodology	Clinical Psychology	Methodology and Statistics	
R_2TvfevvUaXHQnFE	Clinical/Developmental psychology	Clinical Psychology	Developmental and Educational Psychology	
R_1Kv7pJfXLRdSL8t	cognitive	Experimental and Cognitive Psychology		
R_1dv2wqlbdQ3CAkI	Cognitive	Experimental and Cognitive Psychology		
R_2WZRgMdFOz84hnm	cognitive	Experimental and Cognitive Psychology		
R_32XWh9aX5EKrZXV	cognitive	Experimental and Cognitive Psychology		
R_1LCIHXpDM4JmYcy	Cognitive	Experimental and Cognitive Psychology		
R_29ao1CU8JkpACq6	cognitive	Experimental and Cognitive Psychology		
R_ZsLrB8dlsdpskiR	cognitive	Experimental and Cognitive Psychology		
R_2wKWIa63sD7BCxk	cognitive	Experimental and Cognitive Psychology		
R_1nTmNu3nKCS7gjL	cognitive and perceptual psychology	Experimental and Cognitive Psychology		
R_21agB31b9EVmLGP	Cognitive and social psychology	Experimental and Cognitive Psychology	Social Psychology	
R_3OjJnfFqkmgWLR8	cognitive development	Experimental and Cognitive Psychology		
R_2uE3C20kj0Wz9TT	Cognitive Neuroscience	Experimental and Cognitive Psychology		
R_2qrTKgi3gF1DAFS	cognitive neuroscience	Experimental and Cognitive Psychology		
R_BRth86KL2RGT1FD	cognitive neuroscience	Experimental and Cognitive Psychology		
R_3gFoMxFPMHv81Y5	cognitive neuroscience	Experimental and Cognitive Psychology		
R_2tL1FplOL20yA2u	cognitive neuroscience	Experimental and Cognitive Psychology		
R_1IAVMCgHMW513a5	cognitive neuroscience	Experimental and Cognitive Psychology		
R_0pSnlhM9cjoo761	cognitive neuroscience	Experimental and Cognitive Psychology		
R_24uXQr3Dkx8qLAX	cognitive psychologie	Experimental and Cognitive Psychology		
R_1H2htFj1E556ba2	cognitive psychology	Experimental and Cognitive Psychology		
R_3MbetgMtnNGrG16	cognitive psychology	Experimental and Cognitive Psychology		
R_1pYASbK3bjsXvKp	Cognitive psychology	Experimental and Cognitive Psychology		
R_3FXzq2gg3nYRmFq	Cognitive psychology	Experimental and Cognitive Psychology		
R_2dYkdxQ9PL6pAVP	cognitive psychology	Experimental and Cognitive Psychology		
R_2dnlZgwtqHaFIXb	Cognitive psychology	Experimental and Cognitive Psychology		
R_PUqzH7kaWUs0x6F	Cognitive psychology	Experimental and Cognitive Psychology		
R_2VqGz6HTdk71EPx	Cognitive psychology	Experimental and Cognitive Psychology		
R_2tna91iuu646Kj4	cognitive psychology	Experimental and Cognitive Psychology		
R_C2AMSaUaXOwGlVf	Cognitive Psychology	Experimental and Cognitive Psychology		
R_1HbNTULAppwKuKR	cognitive psychology	Experimental and Cognitive Psychology		
R_2amXG7udUh35vJq	cognitive psychology	Experimental and Cognitive Psychology		
R_ReQbuKsx2C4zpPX	Cognitive psychology	Experimental and Cognitive Psychology		
R_2f2J8gyUq8CyL6K	Cognitive psychology	Experimental and Cognitive Psychology		
R_1eY6ADYVaDA8RUL	cognitive psychology	Experimental and Cognitive Psychology		
R_1rp2Bgt6xrvGjf3	cognitive psychology	Experimental and Cognitive Psychology		
R_10PGaJYGZFZ5Ndh	Cognitive Psychology	Experimental and Cognitive Psychology		
R_PthdwK7RVDyqnAt	Cognitive psychology	Experimental and Cognitive Psychology		
R_2wpiWC3QmXUsBpn	Cognitive Psychology	Experimental and Cognitive Psychology		
R_Q3PjJyMetbdGALv	cognitive psychology	Experimental and Cognitive Psychology		
R_a5CTfT7qYZ1SldT	cognitive psychology	Experimental and Cognitive Psychology		
R_wLDde3ZxuDHYHIJ	cognitive psychology	Experimental and Cognitive Psychology		
R_w5UK0xElA4EgdC9	Cognitive Psychology	Experimental and Cognitive Psychology		
R_BqSqWJtsoaJPH3j	cognitive psychology	Experimental and Cognitive Psychology		
R_1i8Vd6PGqUh7qUR	cognitive psychology	Experimental and Cognitive Psychology		
R_DH7Gxx0D6qahsBP	Cognitive psychology	Experimental and Cognitive Psychology		
R_1CDcy7sfuj2shJR	cognitive psychology	Experimental and Cognitive Psychology		
R_3eejdEIlkrPx9et	Cognitive psychology	Experimental and Cognitive Psychology		
R_1mKs7khqyhicQPe	Cognitive Psychology	Experimental and Cognitive Psychology		
R_9YMU1nWewnmzL1f	cognitive psychology	Experimental and Cognitive Psychology		
R_1LzgCZpQhhWWiLx	cognitive psychology	Experimental and Cognitive Psychology		
R_27lFXkGylUWfENM	Cognitive Psychology	Experimental and Cognitive Psychology		
R_33jbAKMLBcVgPvt	cognitive psychology	Experimental and Cognitive Psychology		
R_2TsG3xCxZ42y6c8	Cognitive Psychology	Experimental and Cognitive Psychology		
R_1l0Q7xfWBgvk34U	cognitive psychology	Experimental and Cognitive Psychology		
R_1FewIA8BID7Z78A	Cognitive psychology	Experimental and Cognitive Psychology		
R_2RX3UYogXvCSehM	Cognitive psychology attention memory	Experimental and Cognitive Psychology		
R_3HA1cZPmL96IO4p	Cognitive science	Experimental and Cognitive Psychology		
R_3KwHZ6MheWNRDKS	Cognitive Science	Experimental and Cognitive Psychology		
R_2dtHkMgxUuDcPDF	cognitive science (language processing)	Experimental and Cognitive Psychology		
R_1He16KUXPxw830K	Cognitive science/developmental psychology	Experimental and Cognitive Psychology	Developmental and Educational Psychology	
R_1rlARVUfgDS5XjQ	cognitive, cognitive aging	Experimental and Cognitive Psychology		
R_7O68rTnwpihaTUR	Cognitive. Neuroscience	Experimental and Cognitive Psychology	Neurophysiology and Physiological Psychology	
R_1PUmglTn6nBUq3n	cognitive/experimental/neuro-psychology	Experimental and Cognitive Psychology	Neurophysiology and Physiological Psychology	
R_Ra9mvwIKjp10hix	cognitive/perceptual psychology	Experimental and Cognitive Psychology		
R_2V1GooRkFGt76yp	cogntiion/perception	Experimental and Cognitive Psychology		
R_w5Uu4BJQO0ruFax	colour research	Other		
R_1lAFLxoIIRBypxk	Communication	Other		
R_2dtNE75Zrq4mZJY	Communication	Other		
R_1f7Le4wk0P1X3of	communication, learning and development	Other	Developmental and Educational Psychology	
R_3IVwjbFoO3WUblv	computational cognitive neuroscience	Neurophysiology and Physiological Psychology		
R_27DQQy60GkzSXzM	Computational neuroscience	Neurophysiology and Physiological Psychology		
R_0Han1MojNQt34e5	conflict management, self-regulation, mindset	Other		
R_2X6xACWE2CtzO23	Conflict research	Other		
