response_id	comment	evaluation	main_points	suggestions_for_improvement	group_Marton	group_Alex
R_3plnOMmgE7iMu7b	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	positive	improves credibility; improves overall quality		better inferences, more credible results, upfront workdload	- shifts work load - preregistration is not more time-consuming - better statistical inference - improves credibility - higher research quality - better datamangement (more reproducible)
R_3DvSlv5GdNsj3SO	I am a big proponent of pre-registration. But this year brought my first two Registered Report submissions and I was not in love with the process. The process introduced serious delays and invited reviewers to make comments/requests that would have never happened in a 'normal submission'. I will continue to pre-register my studies but will have to think more about when to do Registered Reports.	mixed	time-consuming	RRs need to be more effective	registered report is too much, prereg is good	- registered reports cause delays - preregistration is good
R_1ffQJOCPpdzJgLV	Speaking as someone who thinks various aspects of the field have improved because of preregistration, and as someone who has preregistered everything for a number of years (and plan to continue to do so): I struggle with its net value. I feel like my creativity and joy for research have suffered. Preregistration at times feels a lot like "teaching to the test." When I look at data, my mind goes right to "Was the preregistration right?" If not, it stings and I feel like the idea is done for. In past times I would have stuck with my thinking for a lot longer and explored the data for learning purposes, but now it feels like my only goal is to confirm the preregistration. I struggle with this.	negative	discourages exploration/creativity		restrictive, improves the field, frustrating 	- preregistration is good - creativity and joy suffered - less exploration of data - pressure to conform to the analysis plan
R_1nUR74ZBZaWBQK0	Duration has been longer for a paper I'm currently working on due to the analysis methods evolving over 3 studies. Without pre-reg (or certainly pre-reg of the first study) I probably would not have reported the analysis pre-registered for the first study. Time was not increased much for other projects.	negative	time-consuming		restrictive, can cause delay for projects with several studies	- preregistration causes delays - less exploration of alternative statistical methods - quality of inference suffered
R_1jK73BwMw1I74DI	Pre-registration prevents QRPs but also helps you flesh out the structure of your study a priori - helping you avoid common pitfalls	positive	improves credibility; improves overall quality		better structure, prevention of QRP	- preregistration improves credibility - preregistration improves project management
R_25NoLYxuWA3VTOp	n/a	-				-
R_3MbetgMtnNGrG16	I like preregistration. It's not much different from what most have to do as students: propose a study thoughtfully before doing it.	positive	improves overall quality		more thought trough	- preregistration improves credibility
R_3sW96KqkWew5Z7z	Pre-registration, though time consuming, enhance study design, creates greater consistency throughout the research process, and helps with clearer communication between collaborators.	mixed	harder, but worth it; improves collaboration		better communication between collaborators, better design, greater consistency	- preregistration is more time consuming - preregistration improves credibility - preregistration improves communication - preregistration improves project management
R_1MSBeMLSAin8ykF	I have no further thoughts	-			NA	-
R_OONo0QzgWL66Os1	this is really insightful work and hopefully helps improve attitudes about improving practices in the field. in subsequent work, it might be worth exploring how researchers felt pre-registration impacted the publication process. although i have been fortunate to have published a number of pre-registered studies at this point, i often encounter editors who still seem to want my team to change a priori aspects of manuscripts to better fit with a "we knew it all along" or in the context of competing hypothesis situations, favor the hypothesis that was ultimately supported by the data. in other words, pre-registration has improved the quality of my empirical work, but has created new challenges when interacting with journals and the publication process.	mixed	improves credibility; makes publishing harder		issues with acceptance of the method from all members of the scientific ecosystem	- preregistration improves credibility  - suggestions for future projects - problems with publishing preregistration
