response_id	duration_in_seconds	planning	recommend	research_type	research_type_6_text	field	group	comment	changed_comment	hypothesis	design	analysis	rdm	workflow	collab	preparatory	duration	stress	qrp
R_2zl2SZWXoTbUJfU	144	Usually	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	6	"7
Improved"	"4
Did not change"	5	Very Strongly Agree
R_Zfz0ZKPPp4BJxzX	199	Always	Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"1
Was longer"	3	Very Strongly Agree
R_3plnOMmgE7iMu7b	107	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Did not change"	6	"4
Did not change"	6	Very Strongly Agree
R_TcQZCBjO9QPKAdH	214	Usually	Strongly Agree	Hypothesis testing	NA	developmental & educational psychology	prereg	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	6	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	Very Strongly Agree
R_OKiCeX27kLv9lfz	209	Sometimes	Agree	Other	it's a mixed bag	political psychology	prereg	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	2	Agree
R_3DvSlv5GdNsj3SO	265	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	I am a big proponent of pre-registration. But this year brought my first two Registered Report submissions and I was not in love with the process. The process introduced serious delays and invited reviewers to make comments/requests that would have never happened in a 'normal submission'. I will continue to pre-register my studies but will have to think more about when to do Registered Reports.	NA	6	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	5	3	"4
Did not change"	Agree
R_1H2htFj1E556ba2	98	Always	Very Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Very Strongly Agree
R_1jIoc13Llz40GBP	180	Usually	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	5	5	"4
Did not change"	5	"4
Did not change"	5	2	3	Agree
R_3OiWQLZ5c6hKQ5b	122	Usually	Very Strongly Agree	Hypothesis testing	NA	Neurolinguistics	prereg	NA	NA	6	5	"7
Got more thought-through"	6	"4
Did not change"	I do not know	5	I do not know	"4
Did not change"	Strongly Agree
R_1ffQJOCPpdzJgLV	465	Always	Agree	Hypothesis testing	NA	social psychology	prereg	"Speaking as someone who thinks various aspects of the field have improved because of preregistration, and as someone who has preregistered everything for a number of years (and plan to continue to do so): I struggle with its net value. I feel like my creativity and joy for research have suffered. Preregistration at times feels a lot like ""teaching to the test."" When I look at data, my mind goes right to ""Was the preregistration right?"" If not, it stings and I feel like the idea is done for. In past times I would have stuck with my thinking for a lot longer and explored the data for learning purposes, but now it feels like my only goal is to confirm the preregistration. I struggle with this."	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"1
Was increased"	Agree
R_1nUR74ZBZaWBQK0	487	Always	Very Strongly Agree	Estimation	NA	Personality Psychology	prereg	Duration has been longer for a paper I'm currently working on due to the analysis methods evolving over 3 studies. Without pre-reg (or certainly pre-reg of the first study) I probably would not have reported the analysis pre-registered for the first study. Time was not increased much for other projects.	NA	5	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	6	2	"4
Did not change"	Strongly Agree
R_2ydqgkzr8VvfjnS	157	Sometimes	Agree	Hypothesis testing	NA	Consumer psychology	prereg	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	5	"7
Got better"	"7
Improved"	"1
Was longer"	2	Disagree
