StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	informed_consent	group_sorting_1	group_sorting_2	group_sorting_3	group_sorting_4	group_sorting_5	control_hypothesis	control_design	control_analysis	control_rdm	control_workflow	control_attention	control_collab	control_preparatory	control_duration	control_stress	control_qrp	prereg_hypothesis	prereg_design	prereg_analysis	prereg_rmd	prereg_workflow	prereg_attention	prereg_collab	prereg_preparatory	prereg_duration	prereg_stress	prereg_qrp	rr_hypothesis	rr_design	rr_analysis	rr_rmd	rr_workflow	rr_attention	rr_collab	rr_preparatory	rr_duration	rr_stress	rr_qrp	other_hypothesis	other_desing	other_analysis	other_rdm	other_workflow	other_attention	other_collab	other_preparatory	other_duration	other_stress	other_qrp	planning	recommend	research_type	research_type_6_TEXT	field	group	comment	changed_comment
Start Date	End Date	Response Type	Progress	Duration (in seconds)	Finished	Recorded Date	Response ID	Distribution Channel	User Language	We are interested in your thinking on how the preregistration process may change your research workflow, data management, or the quality of your studies.     Filling out the survey will take approximately 3 minutes.     After responding, you can sign up to win a 200 Euro Amazon voucher (or any other online voucher of your choice).      Detailed informed consent: https://osf.io/apf23/    Research plan of the project: https://osf.io/qezv5/     Contact: kovacs.marton@ppk.elte.hu    By proceeding, I voluntarily agree that my anonymized data may be used for research purposes. I agree that my anonymized data will be publicly shared on the Open Science Framework. I reserve the right to indicate at the end of the survey that I do not want my responses to be used in which case the data belonging to me should be erased.    I declare that I am over 18 years of age, I have received full detailed information concerning the conditions of my participation in the study. I agree with these conditions and I am willing to participate.	First, please let us know about your publication experience by providing an answer for each study type. I have the following types of studies: - preregistered study that is not published	First, please let us know about your publication experience by providing an answer for each study type. I have the following types of studies: - preregistered study that is published	First, please let us know about your publication experience by providing an answer for each study type. I have the following types of studies: - published study that is neither preregistered nor a Registered Report	First, please let us know about your publication experience by providing an answer for each study type. I have the following types of studies: - Registered Report that is not published	First, please let us know about your publication experience by providing an answer for each study type. I have the following types of studies: - Registered Report that is published	the research hypothesis	the experimental design	the analysis plan	the data management	the project workflow	two plus two equals	the collaboration in the team	the preparatory work (e.g., by running simulations, a pilot, a power analysis)	the total project duration	work-related stress	Preregistration would make it easier to avoid questionable research practices.	the research hypothesis	the experimental design	the analysis plan	the data management	the project workflow	two plus two equals	the collaboration in the team	the preparatory work (e.g., by running simulations, a pilot, a power analysis)	the total project duration	work-related stress	Preregistration made it easier to avoid questionable research practices.	the research hypothesis	the experimental design	the analysis plan	the data management	the project workflow	two plus two equals	the collaboration in the team	the preparatory work (e.g., by running simulations, a pilot, a power analysis)	the total project duration	work-related stress	Preparing a Registered Report made it easier to avoid questionable research practices.	the research hypothesis	the experimental design	the analysis plan	the data management	the project workflow	two plus two equals	the collaboration in the team	the preparatory work (e.g., by running simulations, a pilot, a power analysis)	the total project duration	work-related stress	Preregistration (not including Registered Reports) made it easier to avoid questionable research practices.	How often are you planning to preregister your empirical studies in the future?	I would recommend preregistration to other researchers in my field.	My empirical research is mainly: - Selected Choice	My empirical research is mainly: - Other - Text	Please write here the subfield of your research (e.g., developmental psychology):	group	Here you can share any further thoughts, comments, or feedback with us.	NA
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""status""}"	"{""ImportId"":""progress""}"	"{""ImportId"":""duration""}"	"{""ImportId"":""finished""}"	"{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}"	"{""ImportId"":""_recordId""}"	"{""ImportId"":""distributionChannel""}"	"{""ImportId"":""userLanguage""}"	"{""ImportId"":""QID1""}"	"{""ImportId"":""QID3_1""}"	"{""ImportId"":""QID3_2""}"	"{""ImportId"":""QID3_3""}"	"{""ImportId"":""QID3_4""}"	"{""ImportId"":""QID3_5""}"	"{""ImportId"":""QID8""}"	"{""ImportId"":""QID10""}"	"{""ImportId"":""QID11""}"	"{""ImportId"":""QID13""}"	"{""ImportId"":""QID14""}"	"{""ImportId"":""QID60""}"	"{""ImportId"":""QID15""}"	"{""ImportId"":""QID16""}"	"{""ImportId"":""QID9""}"	"{""ImportId"":""QID17""}"	"{""ImportId"":""QID18""}"	"{""ImportId"":""QID20""}"	"{""ImportId"":""QID21""}"	"{""ImportId"":""QID22""}"	"{""ImportId"":""QID23""}"	"{""ImportId"":""QID24""}"	"{""ImportId"":""QID61""}"	"{""ImportId"":""QID25""}"	"{""ImportId"":""QID26""}"	"{""ImportId"":""QID27""}"	"{""ImportId"":""QID28""}"	"{""ImportId"":""QID29""}"	"{""ImportId"":""QID38""}"	"{""ImportId"":""QID39""}"	"{""ImportId"":""QID40""}"	"{""ImportId"":""QID41""}"	"{""ImportId"":""QID42""}"	"{""ImportId"":""QID62""}"	"{""ImportId"":""QID43""}"	"{""ImportId"":""QID44""}"	"{""ImportId"":""QID45""}"	"{""ImportId"":""QID46""}"	"{""ImportId"":""QID47""}"	"{""ImportId"":""QID49""}"	"{""ImportId"":""QID50""}"	"{""ImportId"":""QID51""}"	"{""ImportId"":""QID52""}"	"{""ImportId"":""QID53""}"	"{""ImportId"":""QID63""}"	"{""ImportId"":""QID54""}"	"{""ImportId"":""QID55""}"	"{""ImportId"":""QID56""}"	"{""ImportId"":""QID57""}"	"{""ImportId"":""QID58""}"	"{""ImportId"":""QID30""}"	"{""ImportId"":""QID31""}"	"{""ImportId"":""QID32""}"	"{""ImportId"":""QID32_6_TEXT""}"	"{""ImportId"":""QID33_TEXT""}"	"{""ImportId"":""group""}"	"{""ImportId"":""QID35_TEXT""}"	NA
2020-01-15 18:46:49	2020-01-15 18:47:43	IP Address	100	53	True	2020-01-15 18:47:43	R_231QbkqaSwlronz	email	EN	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1
Got less thought-through"	"1
Got less thought-through"	"1
Got less thought-through"	"1
Got less thought-through"	"1
Got less thought-through"	"1
One"	"1
Got worse"	"1
Got worse"	"1
Was longer"	"1
Was increased"	Not applicable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Disagree	Other	test	test	prereg	test	NA
2020-01-15 18:53:18	2020-01-15 18:55:43	IP Address	100	144	True	2020-01-15 18:55:43	R_2zl2SZWXoTbUJfU	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	"4
Four"	6	"7
Improved"	"4
Did not change"	5	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-15 18:52:47	2020-01-15 18:56:06	IP Address	100	199	True	2020-01-15 18:56:07	R_Zfz0ZKPPp4BJxzX	email	EN	Yes	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Four"	5	"4
Did not change"	"1
Was longer"	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	NA	NA
2020-01-15 18:57:57	2020-01-15 18:59:45	IP Address	100	107	True	2020-01-15 18:59:45	R_3plnOMmgE7iMu7b	email	EN	Yes	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Four"	"4
Did not change"	6	"4
Did not change"	6	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	NA
2020-01-15 19:00:48	2020-01-15 19:04:22	IP Address	100	214	True	2020-01-15 19:04:23	R_TcQZCBjO9QPKAdH	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	6	6	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	developmental & educational psychology	prereg	NA	NA
2020-01-15 19:24:21	2020-01-15 19:27:51	IP Address	100	209	True	2020-01-15 19:27:51	R_OKiCeX27kLv9lfz	email	EN	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Other	it's a mixed bag	political psychology	prereg	NA	NA
2020-01-15 19:27:03	2020-01-15 19:31:28	IP Address	100	265	True	2020-01-15 19:31:29	R_3DvSlv5GdNsj3SO	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"4
Did not change"	5	3	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	I am a big proponent of pre-registration. But this year brought my first two Registered Report submissions and I was not in love with the process. The process introduced serious delays and invited reviewers to make comments/requests that would have never happened in a 'normal submission'. I will continue to pre-register my studies but will have to think more about when to do Registered Reports.	NA
2020-01-15 21:14:24	2020-01-15 21:16:03	IP Address	100	98	True	2020-01-15 21:16:04	R_1H2htFj1E556ba2	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Four"	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	NA	NA
