response_id	response_raw	response_no	response_separate	code
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	01	Preregistration and data sharing have improved my research.	NA
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	02	My workflow is more transparent (though there is much scope for improvement)	NA
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	03	I manage my data better (e.g., labelling variables, documenting data processing decisions).	NA
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	01	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan.	NA
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	02	I feel that I am making a bet and appropriately indicating my level of certainty.	NA
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	03	The resulting research feels better organized and far clearer.	NA
3	I generally do preregistrations for all of my studies these days, so the only way for me to respond to this would be to compare it to collaborations led by others (which are not always preregistered) and what I used to do before I started preregistering. The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.	01	The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.	NA
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	01	I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow).	NA
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	02	Ultimately, pre-registration has not only made my research more consistent and better planned	NA
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	03	assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting.	NA
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	04	One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	NA
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	01	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA)	NA
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	02	avoiding unintended HARKing in pre-registered studies	NA
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	03	becoming more clear about the own methodological strength and weaknesses while pre-registering	NA
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	01	Workflow: much more thought goes into planning of study, which makes workflow more logical.	NA
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	02	Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end	NA
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	03	Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	NA
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	01	As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials).	NA
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	02	I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally.	NA
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	03	I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance).	NA
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	04	When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	NA
