response_id	response_raw	response_no	response_separate	code
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	1	Preregistration and data sharing have improved my research.	general improvement
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	2	My workflow is more transparent (though there is much scope for improvement)	more transparent workflow
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	3	I manage my data better (e.g., labelling variables, documenting data processing decisions).	better data management
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	1	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan.	clearer research process
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	2	I feel that I am making a bet and appropriately indicating my level of certainty.	recording certainity before seeing the results
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	3	The resulting research feels better organized and far clearer.	better organized study
3	I generally do preregistrations for all of my studies these days, so the only way for me to respond to this would be to compare it to collaborations led by others (which are not always preregistered) and what I used to do before I started preregistering. The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.	1	The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.	study is more thought through before data collection
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	1	I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow).	project more organized
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	2	Ultimately, pre-registration has not only made my research more consistent and better planned	more consistent and better planned study
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	3	assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting.	easier to write the manuscript
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	4	One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	obligation to finish a poor study idea
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	1	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA)	study design more thought through
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	2	avoiding unintended HARKing in pre-registered studies	helps avoid harking
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	3	becoming more clear about the own methodological strength and weaknesses while pre-registering	getting to know your own knowledge better
