code	n	group
added habit of data simulation	1	preparedness
analysis script is ready before data collection	1	preparedness
being more confident about preset exclusion criteria	1	confidence about the analysis
better data management	1	quality of data management
better inference	1	irrelevant content
better organized study	1	project organizedness
better organized team work	1	project organizedness
better study design	1	quality of the study design
can speed up the study	1	project time economy
clear distinction between exploratory and confirmatory analysis	1	irrelevant content
clearer research process	1	smoothness of workflow
different workflow but saves time in the long run	1	project time economy
easier to write the manuscript	3	smoothness of workflow
every collaborator on the study discusses the study before datacollection	1	quality control
faster analysis	1	project time economy
fewer measures because of preregistration	1	quality of the study design
general improvement	1	insufficient information
getting to know your own knowledge better	1	insufficient information
helps avoid harking	1	temptation of QRP
helps avoid unintentional harking	1	temptation of QRP
higher powered study	3	quality of the study design
improved data management	1	quality of data management
improved workflow	1	smoothness of workflow
improves project management	1	project organizedness
make you have larger sample size	1	quality of the study design
makes the project faster	1	project time economy
more clear connection between the data, design and the analysi plan	1	considerateness
more clear connection between the hypotheses, the desgin, and the analysis	1	considerateness
more clear gap between confirmatory and exploratory results	1	irrelevant content
more clear hypotheses	2	quality of hypotheses
more compelling findings	1	irrelevant content
more confident in own decisions during analysis	1	confidence about the analysis
more confident in own results	1	irrelevant content
more consistent and better planned study	1	quality of the study design
more credible results	1	irrelevant content
more detailed plan	1	preparedness
more developed study upfront	1	preparedness
more planned workflow, data management, study design	1	preparedness
more precise in thinking and measurement	1	considerateness
more precise power analysis	1	quality of the study design
more reproducible methods and cleaner analysis code	1	insufficient information
more rigorous study plan	1	quality of the study design
more specified design and analysis	1	quality of the study design
more thought through and detaild analysis	1	considerateness
more thought through plan	1	considerateness
more thought through study	1	considerateness
more time consuming but more accurate	1	project time economy
more time spent on planning	1	project time economy
more time to run the study because of extra administrative steps	1	project time economy
more transparent workflow	1	smoothness of workflow
more trust in the confirmatory results	1	irrelevant content
negative comment by the reviewer	1	work related stress
not suitable for more complex samples	1	insufficient information
obligation to finish a poor study idea	1	work related stress
potentially worse quality if not the best analysis method was preregistered	1	quality of the study design
preregistering suboptimal analysis, that leads to emberassement when it has to be written down in the paper	1	work related stress
project more organized	1	work related stress
quality can be worse if someone preregisters a poor analysis method	1	quality of the study design
recording certainity before seeing the results	1	insufficient information
slows the project down	1	project time economy
study design more thought through	1	quality of the study design
study is more thought through before data collection	1	quality of the study design
