response_id	response_raw	response_01	response_02	response_03	response_04	response_05	response_06	response_07	response_08	response_09	response_10
1	In 2014, I started to preregister all of my confirmatory studies and develop these studies with the intention to share the data. Preregistration and data sharing have improved my research. My workflow is more transparent (though there is much scope for improvement), and I manage my data better (e.g., labelling variables, documenting data processing decisions).	Preregistration and data sharing have improved my research.	My workflow is more transparent (though there is much scope for improvement)	I manage my data better (e.g., labelling variables, documenting data processing decisions).							
2	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan. I feel that I am making a bet and appropriately indicating my level of certainty. The resulting research feels better organized and far clearer.	The research process is far clearer for preregistered studies: we agree ahead of time on analysis and sampling plan.	I feel that I am making a bet and appropriately indicating my level of certainty.	The resulting research feels better organized and far clearer.							
3	I generally do preregistrations for all of my studies these days, so the only way for me to respond to this would be to compare it to collaborations led by others (which are not always preregistered) and what I used to do before I started preregistering. The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.	The biggest difference is that more of the burden of writing up the design and analyses/analysis plan is put on the front end. This also means that I generally spend considerably more time carefully thinking through my design, how it corresponds to my hypotheses, and precisely how I will test my hypotheses/what would constitute confirmation before launching the study. I feel that all of this has dramatically improved the quality of my work, which is why I have transitioned to preregistering virtually all of my studies at this point.									
4	Having pre-registered nearly every study I’ve run in my graduate career, I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow). Ultimately, pre-registration has not only made my research more consistent and better planned, but also assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting. One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.	I can say that pre-registration has personally helped me organize my projects and have an easy repository to find old data and materials (I am not always the most organized with my personal computer workflow).	Ultimately, pre-registration has not only made my research more consistent and better planned	assisted with manuscript writing since a good bulk of the methods section(s) is essentially complete before starting.	One downside for me is that sometimes pre-registration can promote a feeling of obligation to continue with projects that are not going to be fruitful or that I’ve simply lost passion for, merely because I’ve publicly “promised” via pre-registration that I would complete something and have results to show for it.						
5	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA); avoiding unintended HARKing in pre-registered studies; becoming more clear about the own methodological strength and weaknesses while pre-registering	the main differences between pre-registered endnote pre-registered studies was for me: thinking more carefully about study designs due to the prompts of the pre-registration forms (e.g. I never thought about the power of a simple CFA before pre-registering a study with a CFA)	avoiding unintended HARKing in pre-registered studies	becoming more clear about the own methodological strength and weaknesses while pre-registering							
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis 	Workflow: much more thought goes into planning of study, which makes workflow more logical.	Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end	Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis							
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials).	I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally.	I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance).	When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.						
8	I have now done a couple of preregistered studies, and I did not experience much differences with the non-preregistered ones. It probably helped me to think more critically about the analysis beforehand, having to write it down explicitly, but the other steps were not much different in my experience. One disadvantage that I experienced was during the review process, where I got a comment about the preregistration, which I would otherwise not have received.	It probably helped me to think more critically about the analysis beforehand, having to write it down explicitly	One disadvantage that I experienced was during the review process, where I got a comment about the preregistration, which I would otherwise not have received.								
9	To me pre-registration is a bit like chess: you have to think about a lot of potential “moves” in advance (different aspects of the design, how participants might react, what to do if you have a lot of missing values, violations of assumptions, etc…). A lot of scenarios might never come to fruition just as your opponent in chess picks one particular line, and in that sense you may have wasted time thinking about all these alternatives. On the other hand, by carefully considering all these scenarios, you are ready for (almost) everything, and are less likely to make a fatal mistake (both in chess and in terms of panning and conducting a study). Also, the more experience you get, the better you become in anticipating different moves. So, my workflow is different: with pre-reg (almost) every design choice, and analysis pipeline is specified before the data collection (except for pilot data), whereas my non pre-reg work is more loosely specified. Note that pre-reg versus non-pre-reg correlates with my maturation as a researcher. So even though the data-management of my pre-reg work is better on average, I can’t say it’s because of pre-reg. If I would have to guess, it’s more about focusing on transparency in general that led me to improve my data-management and pre-reg confirmatory work. Disclaimer: I also teach about pre-reg, so I’m probably biased; also, you might get some socially desirable responses seeing that you are pre-reg advocates yourselves (if I’m not mistaken). Anyway, good luck with the project. Let me know if you need any additional information.	To me pre-registration is a bit like chess: you have to think about a lot of potential “moves” in advance (different aspects of the design, how participants might react, what to do if you have a lot of missing values, violations of assumptions, etc…). A lot of scenarios might never come to fruition just as your opponent in chess picks one particular line, and in that sense you may have wasted time thinking about all these alternatives. On the other hand, by carefully considering all these scenarios, you are ready for (almost) everything, and are less likely to make a fatal mistake (both in chess and in terms of panning and conducting a study). Also, the more experience you get, the better you become in anticipating different moves. So, my workflow is different: with pre-reg (almost) every design choice, and analysis pipeline is specified before the data collection (except for pilot data), whereas my non pre-reg work is more loosely specified.	If I would have to guess, it’s more about focusing on transparency in general that led me to improve my data-management and pre-reg confirmatory work.								
10	workflow: For pre-registered studies, I make sure I the analysis script is ready -- or almost ready -- before starting data collection. This is easy when I have done similar studies before (e.g., with the same paradigm), but when I haven't, I usually simulate some data to test the analysis script. For exploratory (not pre-registered studies) I don't do all this. data management: I can't think of any big differences (e.g., in both cases, I try to share code and data on osf -- so, I would need to go through the same steps). quality of research: Since doing pre-registered studies, I feel much more confident in the conclusions that I draw from my confirmatory research.	workflow: For pre-registered studies, I make sure I the analysis script is ready -- or almost ready -- before starting data collection. This is easy when I have done similar studies before (e.g., with the same paradigm), but when I haven't, I usually simulate some data to test the analysis script. For exploratory (not pre-registered studies) I don't do all this.	quality of research: Since doing pre-registered studies, I feel much more confident in the conclusions that I draw from my confirmatory research.								
